Categoría,Correo,Asunto,Message
spam,paypal_support_101@pago-pendient.biz,URGENT ALERT: Immediate Action Required (ID: 493),"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar"
ham,jefe61_1@uni.edu,"Yeah why not, is the...","Yeah why not, is the gang all ready"
ham,secretaria36_1@trabajo.com,Blank is Blank. But wat...,Blank is Blank. But wat is blank? Lol
ham,secretaria15_1@trabajo.com,I'm in a movie... Collect...,I'm in a movie... Collect car oredi...
ham,carlos84_2@outlook.es,We left already we at...,We left already we at orchard now.
spam,ganador_loto_96@felicidades.info,New Spam Message - Important (ID: 494),"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs"
ham,luis53_2@trabajo.com,Nothing spl..wat abt u and...,Nothing spl..wat abt u and whr ru?
ham,sofia66_2@gmail.com,No chikku nt yet.. Ya...,No chikku nt yet.. Ya i'm free
ham,carlos94_2@trabajo.com,"Aldrine, rakhesh ex RTM here.pls...","Aldrine, rakhesh ex RTM here.pls call.urgent."
ham,jefe83@uni.edu,The search 4 happiness is...,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.
ham,carlos77@hotmail.com,I'm at home. Please call,I'm at home. Please call
ham,ana86_1@hotmail.com,I guess you could be...,"I guess you could be as good an excuse as any, lol."
ham,ana73@outlook.es,Isn't frnd a necesity in...,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
ham,jefe26_1@uni.edu,Gud mrng dear hav a...,Gud mrng dear hav a nice day
ham,luis34_1@gmail.com,Old Orchard near univ. How...,Old Orchard near univ. How about you?
ham,carlos71_1@outlook.es,4 tacos + 1 rajas...,"4 tacos + 1 rajas burrito, right?"
ham,jefe84_3@uni.edu,"It‘s £6 to get in,...","It‘s £6 to get in, is that ok?"
ham,luis94@trabajo.com,Hows the street where the...,Hows the street where the end of library walk is?
ham,luis37_1@gmail.com,Plz note: if anyone calling...,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
ham,secretaria58@uni.edu,We stopped to get ice...,We stopped to get ice cream and will go back after
ham,jefe53@uni.edu,Did you stitch his trouser,Did you stitch his trouser
ham,profesor_x75_2@gmail.com,No da. . Vijay going...,No da. . Vijay going to talk in jaya tv
spam,paypal_support_102@pago-pendient.biz,New Spam Message - Important (ID: 495),2/2 146tf150p
ham,carlos59@uni.edu,Hey i'm bored... So i'm...,Hey i'm bored... So i'm thinking of u... So wat r u doing?
ham,secretaria45@trabajo.com,"Nah, Wednesday. When should I...","Nah, Wednesday. When should I bring the mini cheetos bag over?"
ham,carlos63@hotmail.com,Nobody names their penis a...,Nobody names their penis a girls name this story doesn't add up at all
ham,profesor_x83@outlook.es,"Aight, let me know when...","Aight, let me know when you're gonna be around usf"
ham,profesor_x33_1@outlook.es,I'm not. She lip synced...,I'm not. She lip synced with shangela.
ham,luis96_1@hotmail.com,Ü neva tell me how...,Ü neva tell me how i noe... I'm not at home in da aft wat...
ham,profesor_x81_1@outlook.es,A bit of Ur smile...,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
spam,paypal_support_103@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 496),Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2
ham,carlos47_1@trabajo.com,"Buzz! Hey, my Love !...","Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*"
ham,sofia15_2@gmail.com,"Haha... Sounds crazy, dunno can...","Haha... Sounds crazy, dunno can tahan anot..."
ham,carlos91_1@outlook.es,Why are u up so...,Why are u up so early?
ham,luis34_1@outlook.es,Ya that one is slow...,Ya that one is slow as poo
spam,servicio_seguridad_106@alerta-oficial.net,New Spam Message - Important (ID: 497),Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
ham,ana95_1@uni.edu,Im on gloucesterroad what are...,Im on gloucesterroad what are uup to later?
ham,profesor_x47_1@uni.edu,Yes:)here tv is always available...,Yes:)here tv is always available in work place..
spam,ganador_loto_97@felicidades.info,New Spam Message - Important (ID: 498),YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
ham,ana70@trabajo.com,Lol no ouch but wish...,Lol no ouch but wish i'd stayed out a bit longer
ham,profesor_x36_2@gmail.com,"GOD ASKED, ""What is forgiveness?""...","GOD ASKED, ""What is forgiveness?"" A little child gave lovely reply, ""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......"
ham,luis93_1@gmail.com,We'll join the &lt;#&gt; bus,We'll join the  &lt;#&gt;  bus
ham,secretaria23_3@outlook.es,Was just about to ask....,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo
spam,ganador_loto_98@felicidades.info,Exclusive Free Offer! (ID: 499),FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,jefe16_1@hotmail.com,K.i will send in &lt;#&gt;...,K.i will send in  &lt;#&gt;  min:)
ham,secretaria20@outlook.es,Would me smoking you out...,Would me smoking you out help us work through this difficult time
spam,paypal_support_104@pago-pendient.biz,URGENT ALERT: Immediate Action Required (ID: 500),"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p"
ham,secretaria60_2@trabajo.com,Yes.mum lookin strong:),Yes.mum lookin strong:)
ham,sofia43@gmail.com,"Sir Goodmorning, Once free call...","Sir Goodmorning, Once free call me."
ham,ana78_2@uni.edu,Where are you call me.,Where are you call me.
ham,jefe57_1@gmail.com,Was gr8 to see that...,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,profesor_x24_1@hotmail.com,Love it! The girls at...,Love it! The girls at the office may wonder why you are smiling but sore...
ham,carlos86@hotmail.com,"Hi, wlcome back, did wonder...","Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much"
ham,luis48_3@outlook.es,Does uncle timi help in...,Does uncle timi help in clearing cars
ham,ana65@uni.edu,I came hostel. I m...,I came hostel. I m going to sleep. Plz call me up before class. Hrishi.
ham,carlos37@uni.edu,Ok... But bag again..,Ok... But bag again..
ham,ana26_1@uni.edu,Hi! You just spoke to...,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,profesor_x72_1@trabajo.com,Ok lor. Msg me b4...,Ok lor. Msg me b4 u call.
spam,soporte_tecnico_102@actualizacion-sistema.com,Exclusive Free Offer! (ID: 501),"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876"
ham,jefe72@uni.edu,Once a fishrman woke early...,"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:""Dont wake up early in d mrng'' GOOD night"
spam,paypal_support_105@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 502),"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm"
ham,profesor_x54@uni.edu,Then ur physics get a-?,Then ur physics get a-?
ham,carlos21_4@outlook.es,"Dear friends, sorry for the...","Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat."
ham,sofia24_1@hotmail.com,How r ü going to...,How r ü going to send it to me?
ham,secretaria98_1@gmail.com,Can you do online transaction?,Can you do online transaction?
ham,ana78_3@gmail.com,Dear got train and seat...,Dear got train and seat mine lower seat
ham,luis21_1@uni.edu,Let me know if you...,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?
ham,profesor_x49_1@uni.edu,Wat r u doing?,Wat r u doing?
ham,luis15_2@uni.edu,WHORE YOU ARE UNBELIEVABLE.,WHORE YOU ARE UNBELIEVABLE.
spam,paypal_support_106@pago-pendient.biz,New Spam Message - Important (ID: 503),"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,luis81@uni.edu,Are you sure you don't...,"Are you sure you don't mean ""get here, we made you hold all the weed"""
ham,carlos81_2@trabajo.com,I love you !!! You...,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*"
spam,paypal_support_107@pago-pendient.biz,URGENT ALERT: Immediate Action Required (ID: 504),"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)"
ham,secretaria30_1@hotmail.com,Love it! I want to...,Love it! I want to flood that pretty pussy with cum...
ham,jefe47@trabajo.com,Hey are you angry with...,Hey are you angry with me. Reply me dr.
ham,ana42_1@trabajo.com,"Short But Cute: ""Be a...","Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
ham,profesor_x20_1@trabajo.com,Also remember the beads don't...,Also remember the beads don't come off. Ever.
ham,carlos88_1@gmail.com,They have a thread on...,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
ham,jefe22@uni.edu,For The First Time In...,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;
ham,secretaria91@uni.edu,"Feb &lt;#&gt; is ""I LOVE...","Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"
ham,sofia83@uni.edu,"Actually nvm, got hella cash,...","Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?"
spam,paypal_support_108@pago-pendient.biz,URGENT ALERT: Immediate Action Required (ID: 505),We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
ham,profesor_x12@trabajo.com,"It's ok, at least armand's...","It's ok, at least armand's still around"
ham,sofia54_2@hotmail.com,No da. I am happy...,No da. I am happy that we sit together na
ham,ana79_1@trabajo.com,Yup song bro. No creative....,Yup song bro. No creative. Neva test quality. He said check review online.
ham,luis48_1@uni.edu,"No dude, its not fake..my...","No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs.."
ham,jefe85_1@trabajo.com,Dude while were makin those...,Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.
spam,servicio_seguridad_107@alerta-oficial.net,Congratulations! You Have Won a Prize (ID: 506),URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
ham,jefe43_1@uni.edu,Pls dont restrict her from...,Pls dont restrict her from eating anythin she likes for the next two days.
ham,ana11_1@trabajo.com,Mm you ask him to...,Mm you ask him to come its enough :-)
ham,luis15@gmail.com,At the funeral home with...,At the funeral home with Audrey and dad
ham,profesor_x52_1@uni.edu,"Aight, can you text me...","Aight, can you text me the address?"
ham,profesor_x11_1@uni.edu,Excellent! Wish we were together...,Excellent! Wish we were together right now!
ham,profesor_x44@hotmail.com,Yep then is fine 7.30...,Yep then is fine 7.30 or 8.30 for ice age.
ham,profesor_x50_1@trabajo.com,Pls i wont belive god.not...,Pls i wont belive god.not only jesus.
ham,ana76@gmail.com,Can. Dunno wat to get...,Can. Dunno wat to get 4 her...
ham,sofia98_1@gmail.com,"Not yet chikku..k, then wat...","Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
ham,jefe61_2@uni.edu,How long does it take...,How long does it take to get it.
ham,secretaria76@hotmail.com,This is my number by...,This is my number by vivek..
spam,servicio_seguridad_108@alerta-oficial.net,Exclusive Free Offer! (ID: 507),74355 XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC
ham,luis50_1@trabajo.com,"sorry brah, just finished the...","sorry brah, just finished the last of my exams, what up"
ham,profesor_x38_1@trabajo.com,I got arrested for possession...,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
ham,secretaria69_1@uni.edu,You are right though. I...,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.
ham,profesor_x44_1@uni.edu,Just normal only here :),Just normal only here :)
ham,ana78_1@trabajo.com,Please protect yourself from e-threats....,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
ham,ana43_1@uni.edu,I miss you so much...,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you
